,Model Name,R2_Score(Training),R2_Score_Testing,Depth,Iterations,Learning Rate
158,CatBoost Regressor Tuned,0.7832962310281472,0.8600509831356775,2.0,1000.0,0.05
159,CatBoost Regressor Tuned,0.8146151072287594,0.8564011101118982,2.0,1000.0,0.07
160,CatBoost Regressor Tuned,0.851676475486774,0.8478542978438359,2.0,1000.0,0.1
161,CatBoost Regressor Tuned,0.37980332549609297,0.5875080180541481,2.0,1050.0,0.001
162,CatBoost Regressor Tuned,0.6084316492001802,0.8351220319694589,2.0,1050.0,0.005
163,CatBoost Regressor Tuned,0.62932217543276,0.8500843433735903,2.0,1050.0,0.007
164,CatBoost Regressor Tuned,0.6517549055015461,0.8557394005433303,2.0,1050.0,0.01
165,CatBoost Regressor Tuned,0.705019183980663,0.8685145066905133,2.0,1050.0,0.02
166,CatBoost Regressor Tuned,0.7405218120251346,0.8616836931130554,2.0,1050.0,0.03
167,CatBoost Regressor Tuned,0.7646689510506693,0.8626860007483437,2.0,1050.0,0.04
168,CatBoost Regressor Tuned,0.7880629289731695,0.8601331385722016,2.0,1050.0,0.05
169,CatBoost Regressor Tuned,0.8195354884818487,0.855717377836373,2.0,1050.0,0.07
170,CatBoost Regressor Tuned,0.8568015676153893,0.8465288276799791,2.0,1050.0,0.1
171,CatBoost Regressor Tuned,0.38826384081169973,0.5987877706667308,2.0,1100.0,0.001
172,CatBoost Regressor Tuned,0.6120318523597648,0.8379793591036888,2.0,1100.0,0.005
173,CatBoost Regressor Tuned,0.6317127954239738,0.8509902524122924,2.0,1100.0,0.007
174,CatBoost Regressor Tuned,0.6553904280402462,0.8572642924187188,2.0,1100.0,0.01
175,CatBoost Regressor Tuned,0.7092585162618963,0.8680570135788558,2.0,1100.0,0.02
176,CatBoost Regressor Tuned,0.7449717970786125,0.8607436432427217,2.0,1100.0,0.03
177,CatBoost Regressor Tuned,0.7696373725309653,0.8634508806435766,2.0,1100.0,0.04
178,CatBoost Regressor Tuned,0.7927683431660275,0.8589370773775333,2.0,1100.0,0.05
179,CatBoost Regressor Tuned,0.8243471666619746,0.8557071259550431,2.0,1100.0,0.07
180,CatBoost Regressor Tuned,0.8610171889560743,0.846124213541435,2.0,1100.0,0.1
181,CatBoost Regressor Tuned,0.3966863401893169,0.6101360719478711,2.0,1150.0,0.001
182,CatBoost Regressor Tuned,0.6151560929785154,0.8397287474527979,2.0,1150.0,0.005
183,CatBoost Regressor Tuned,0.6341554950159856,0.8520171574237572,2.0,1150.0,0.007
184,CatBoost Regressor Tuned,0.6584747564864868,0.8579225178114988,2.0,1150.0,0.01
185,CatBoost Regressor Tuned,0.7126530153108379,0.8682437807401457,2.0,1150.0,0.02
186,CatBoost Regressor Tuned,0.7492285845696851,0.8612777228406115,2.0,1150.0,0.03
187,CatBoost Regressor Tuned,0.7740549431124021,0.8639141865720751,2.0,1150.0,0.04
188,CatBoost Regressor Tuned,0.7973939482936695,0.8583457285736497,2.0,1150.0,0.05
189,CatBoost Regressor Tuned,0.8287727373258938,0.8562352796885427,2.0,1150.0,0.07
190,CatBoost Regressor Tuned,0.8654016556607849,0.8408898487795446,2.0,1150.0,0.1
191,CatBoost Regressor Tuned,0.40463613907465545,0.620524739686273,2.0,1200.0,0.001
192,CatBoost Regressor Tuned,0.6181699585211413,0.8424532628161079,2.0,1200.0,0.005
193,CatBoost Regressor Tuned,0.6371060979016115,0.8537910559864215,2.0,1200.0,0.007
194,CatBoost Regressor Tuned,0.6617497365961231,0.858914420666076,2.0,1200.0,0.01
195,CatBoost Regressor Tuned,0.7167199636454413,0.867889819604478,2.0,1200.0,0.02
196,CatBoost Regressor Tuned,0.752899617254543,0.8611778553937399,2.0,1200.0,0.03
197,CatBoost Regressor Tuned,0.7780729796037423,0.8624819868326764,2.0,1200.0,0.04
198,CatBoost Regressor Tuned,0.8007820608721807,0.8571039506047522,2.0,1200.0,0.05
199,CatBoost Regressor Tuned,0.8333862716696899,0.8546274773550377,2.0,1200.0,0.07
200,CatBoost Regressor Tuned,0.8697720624596327,0.838769379654384,2.0,1200.0,0.1
201,CatBoost Regressor Tuned,0.41220462860711327,0.6297526086848036,2.0,1250.0,0.001
202,CatBoost Regressor Tuned,0.6206923847435073,0.8436547085193603,2.0,1250.0,0.005
203,CatBoost Regressor Tuned,0.6395017707305988,0.854473105390419,2.0,1250.0,0.007
204,CatBoost Regressor Tuned,0.6649930311755334,0.8597828800693521,2.0,1250.0,0.01
205,CatBoost Regressor Tuned,0.7192828712467705,0.8672041330688312,2.0,1250.0,0.02
206,CatBoost Regressor Tuned,0.7565862068381872,0.8607495600289973,2.0,1250.0,0.03
207,CatBoost Regressor Tuned,0.7821560575301925,0.8625003873206152,2.0,1250.0,0.04
208,CatBoost Regressor Tuned,0.805000297197968,0.8576823430934177,2.0,1250.0,0.05
209,CatBoost Regressor Tuned,0.8375397211296705,0.8535943537641009,2.0,1250.0,0.07
210,CatBoost Regressor Tuned,0.8737070492189208,0.8366695197546066,2.0,1250.0,0.1
211,CatBoost Regressor Tuned,0.4192293699553331,0.6389692945893921,2.0,1300.0,0.001
212,CatBoost Regressor Tuned,0.6231972928782861,0.8452818996779191,2.0,1300.0,0.005
213,CatBoost Regressor Tuned,0.6423522553654433,0.85585478444105,2.0,1300.0,0.007
214,CatBoost Regressor Tuned,0.6676848683110881,0.8604059934203011,2.0,1300.0,0.01
215,CatBoost Regressor Tuned,0.7226746525190566,0.8655144782594109,2.0,1300.0,0.02
216,CatBoost Regressor Tuned,0.7602163629743284,0.8608435782788372,2.0,1300.0,0.03
217,CatBoost Regressor Tuned,0.78607743385493,0.861325448293373,2.0,1300.0,0.04
218,CatBoost Regressor Tuned,0.8086567686407339,0.8556432733191363,2.0,1300.0,0.05
219,CatBoost Regressor Tuned,0.8416693451711977,0.8509072713388028,2.0,1300.0,0.07
