,Model Name,R2_Score(Training),R2_Score_Testing,Depth,Iterations,Learning Rate,Score Difference
150,CatBoost Regressor Tuned,0.9540618798989434,0.8493359648384408,9.0,1050.0,0.02,0.10472591506050266
151,CatBoost Regressor Tuned,0.9560281512016752,0.8491791901897539,8.0,1300.0,0.02,0.10684896101192132
152,CatBoost Regressor Tuned,0.932091168891828,0.8491181164375283,6.0,1550.0,0.02,0.08297305245429965
153,CatBoost Regressor Tuned,0.9267662883846088,0.8489806702572108,5.0,1350.0,0.03,0.07778561812739804
154,CatBoost Regressor Tuned,0.951070604498376,0.8489203454885702,7.0,1550.0,0.02,0.10215025900980579
155,CatBoost Regressor Tuned,0.8716901439828453,0.8485078717456507,3.0,1100.0,0.05,0.0231822722371946
156,CatBoost Regressor Tuned,0.8621285182980031,0.8484942214310369,3.0,1250.0,0.04,0.013634296866966156
157,CatBoost Regressor Tuned,0.8952996589389985,0.8483605757421699,4.0,1050.0,0.04,0.0469390831968286
158,CatBoost Regressor Tuned,0.9473196381355566,0.8479845591852111,6.0,1250.0,0.03,0.09933507895034555
159,CatBoost Regressor Tuned,0.9709600154437468,0.8479271651746481,8.0,1100.0,0.03,0.12303285026909871
160,CatBoost Regressor Tuned,0.9347671325362564,0.8479192520398371,6.0,1600.0,0.02,0.08684788049641934
161,CatBoost Regressor Tuned,0.9015220862498396,0.8478572485658714,4.0,1500.0,0.03,0.053664837683968236
162,CatBoost Regressor Tuned,0.851676475486774,0.8478542978438359,2.0,1000.0,0.1,0.0038221776429381293
163,CatBoost Regressor Tuned,0.9587591526857544,0.8476417749092564,8.0,1350.0,0.02,0.111117377776498
164,CatBoost Regressor Tuned,0.9532040790662308,0.8475394143219482,7.0,1600.0,0.02,0.1056646647442826
165,CatBoost Regressor Tuned,0.9319786235219438,0.8474997135780411,5.0,1050.0,0.04,0.08447890994390272
166,CatBoost Regressor Tuned,0.8662708298506148,0.8469840689754836,3.0,1300.0,0.04,0.019286760875131148
167,CatBoost Regressor Tuned,0.9578412554420476,0.8469772353021592,9.0,1100.0,0.02,0.11086402013988839
168,CatBoost Regressor Un-tuned,0.947377841150642,0.8467619331164478,,,,0.10061590803419429
169,CatBoost Regressor Tuned,0.963986445405042,0.846732024636572,10.0,2000.0,0.01,0.11725442076846992
170,CatBoost Regressor Tuned,0.9303470241101351,0.8467259202522635,5.0,1400.0,0.03,0.08362110385787169
171,CatBoost Regressor Tuned,0.8568015676153893,0.8465288276799791,2.0,1050.0,0.1,0.010272739935410224
172,CatBoost Regressor Tuned,0.9046891834905252,0.8464478790465502,4.0,1550.0,0.03,0.05824130444397502
173,CatBoost Regressor Tuned,0.8761621641704409,0.8463969651116183,3.0,1150.0,0.05,0.029765199058822578
174,CatBoost Regressor Tuned,0.8992349788122294,0.8463537084384497,3.0,1050.0,0.07,0.052881270373779654
175,CatBoost Regressor Tuned,0.849062669212794,0.846242543327131,2.0,1400.0,0.07,0.0028201258856630496
176,CatBoost Regressor Tuned,0.9633410597185426,0.8462341837949774,10.0,1000.0,0.02,0.11710687592356517
